Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
10004003829,2,0,0,3000000,48000000,0,0,1,1401
10004003832,1,198000000,0,0,51200000,0,0,1,1401
10004003835,1,740000000,0,1000000,32300000,0,0,1,1401
10004003838,1,432000000,0,0,26300000,0,0,1,1401
10004003841,1,0,0,0,10000000,0,0,1,1401
10004003841,2,0,0,4800000,0,0,0,1,1401
10004004227,1,860000000,60000000,10000000,12360000,0,0,1,1401
10004004230,1,0,100000000,0,12360000,0,30000000,1,1401
10004004231,1,0,0,20000000,0,0,0,1,1401
10004004235,1,0,0,25000000,0,0,0,1,1401
10004004238,1,620000000,0,0,0,0,0,1,1401
10004004241,1,0,0,1000000,30520000,0,0,1,1401
10005004625,1,420000000,0,0,9000000,0,0,1,1401
10005004630,1,552000000,150000000,5750000,16000000,0,0,1,1401
10005004630,2,0,0,5750000,0,0,0,1,1401
10005004630,3,0,0,5750000,0,0,0,1,1401
10005004630,4,0,0,5750000,0,0,0,1,1401
10005004634,1,505000000,0,20000000,30520000,0,0,1,1401
10005004635,1,471000000,0,0,22600000,0,0,1,1401
10005004638,1,0,0,0,49600000,0,0,1,1401
10005004638,4,80000000,0,0,0,0,0,1,1401
10005004641,1,0,0,6000000,9600000,0,180000000,1,1401
10005005129,1,556000000,0,0,51200000,0,0,1,1401
10005005130,1,0,0,800000,41800000,0,0,1,1401
10005005135,1,0,0,7000000,44560000,0,0,1,1401
10005005138,1,990000000,0,0,31800000,0,0,1,1401
10005005141,1,0,0,100000000,21500000,0,240000000,1,1401
10006005526,1,0,0,10000000,22360000,0,0,1,1401
10006005530,1,0,0,600000000,0,0,0,1,1401
10006005534,1,0,0,5000000,22360000,0,0,1,1401
10006005538,1,0,0,16500000,10000000,0,0,1,1401
10006005541,1,0,0,0,10000000,0,0,1,1401
10006005927,1,0,0,0,9000000,0,150000000,1,1401
10006005930,1,0,0,3000000,24000000,0,0,1,1401
10006005930,2,0,0,3000000,0,0,0,1,1401
10006005932,1,0,0,0,43520000,0,120000000,1,1401
10006005934,1,0,0,0,15000000,0,0,1,1401
10006005938,1,0,0,0,38560000,0,0,1,1401
10006005941,1,630000000,0,4500000,35560000,0,0,1,1401
